biorxiv doi,published doi,pmcid,pmid
10.1101/262055,10.1128/mSphere.00590-18,None,None
10.1101/451948,10.1021/acschembio.9b00092,None,None
10.1101/354597,10.1093/molbev/msz022,None,None
10.1101/335893,10.1371/journal.pcbi.1006793,None,None
10.1101/283838,10.1111/psyp.13322,None,None
10.1101/263798,10.1007/s10142-019-00659-2,None,None
10.1101/432492,10.1007/s42113-019-00026-1,None,None
10.1101/322966,10.1371/journal.pcbi.1006199,None,None
10.1101/374678,10.1038/s41380-019-0355-y,None,None
10.1101/212886,10.1093/bioinformatics/btz053,None,None
10.1101/269589,10.1016/j.neuroscience.2019.01.039,None,None
10.1101/504563,10.1152/jn.00396.2018,None,None
10.1101/417618,10.1128/mSystems.00029-19,None,None
10.1101/402404,10.7554/elife.41415,PMC6366900,30648970
10.1101/305680,10.1534/g3.118.200910,None,None
10.1101/284828,10.1093/gbe/evz019,None,None
10.1101/435859,10.1002/2211-5463.12590,None,None
10.1101/344168,10.1101/gr.240572.118,None,None
10.1101/330530,10.1016/j.neuroimage.2019.01.068,None,None
10.1101/518043,10.1128/mSphere.00025-19,None,None
10.1101/285288,10.1111/eva.12776,None,None
10.1101/403790,10.7554/elife.40698,PMC6347450,30681410
10.1101/491548,10.1002/pro.3575,None,None
10.1101/371005,10.1016/j.ydbio.2019.01.003,None,None
10.1101/302497,10.1523/jneurosci.2289-18.2018,None,None
10.1101/279224,10.1371/journal.pcbi.1006591,None,None
10.1101/277368,10.7554/elife.40766,PMC6335057,30648533
10.1101/185892,10.1038/s41467-018-08098-6,PMC6338734,30659188
10.1101/318741,10.1088/1741-2552/ab03a1,None,None
10.1101/278358,10.1016/j.neuroimage.2019.01.014,None,None
10.1101/433367,10.1038/s41593-018-0326-7,None,None
10.1101/493239,10.1128/mBio.02733-18,None,None
10.1101/378620,10.1093/bioinformatics/btz036,None,None
10.1101/512616,10.1128/mSphere.00698-18,None,None
10.1101/232066,10.1016/j.biomaterials.2019.01.009,None,None
10.1101/423541,10.1091/mbc.e18-09-0592,None,None
10.1101/417790,10.7554/elife.41740,PMC6349399,30644821
10.1101/366534,10.1186/s13073-018-0611-9,PMC6320579,30609936
10.1101/511675,10.1128/mBio.02819-18,None,None
10.1101/511600,10.1021/acs.jpcb.8b10518,None,None
10.1101/486480,10.1113/JP277385,None,None
10.1101/510651,10.1128/mBio.02892-18 ,None,None
10.1101/463752,10.1016/j.ympev.2018.12.032,None,None
10.1101/277848,10.1093/bioinformatics/btz009,None,None
10.1101/433185,10.1038/s41467-019-08519-0,PMC6355898,30705284
10.1101/412130,10.7717/peerj.6374,PMC6361002,30723633
10.1101/296814,10.1128/msphere.00696-18,PMC6354810,30700513
10.1101/506972,10.1002/jcp.28161,None,None
10.1101/446179,10.7554/elife.42508,None,None
10.1101/412734,10.12688/f1000research.17125.1,None,None
10.1101/385864,10.1371/journal.pone.0202450,PMC6336281,30653545
10.1101/438309,10.1074/mcp.tir118.001132,None,None
10.1101/373084,10.1016/j.bpj.2019.01.001,None,None
10.1101/369124,10.1111/2041-210x.13153,None,None
10.1101/505669,10.7554/elife.39694,PMC6338466,30601119
10.1101/273128,10.7554/elife.38471,PMC6363393,30719973
10.1101/481952,10.2174/1568026619666181220111059,None,None
